@type,name,amenity,addr:postcode,addr:suburb,@lat,@lon
node,Marktstube,fast_food,13597,Spandau,52.5367377,13.2036903
node,Doyuran K�fteci,restaurant,10999,Kreuzberg,52.5017145,13.4173114
node,Telepizza,fast_food,10553,Moabit,52.5286875,13.3186884
node,FANKoch,restaurant,12163,,52.4667558,13.3199577
node,Voson Bilash,restaurant,10589,Charlottenburg,52.5246598,13.3132320
node,TheGreatRoom,restaurant,10553,Moabit,52.5258493,13.3221340
node,Bella Vista,restaurant,14089,Gatow,52.4875432,13.1823651
node,Burger Vision,fast_food,12053,,52.4783250,13.4300973
node,C� C� b�nh m� deli,fast_food,10119,Mitte,52.5291472,13.4015439
node,South Vietnam,restaurant,10435,Prenzlauer Berg,52.5398428,13.4117863
node,La Dolce Vita Ristorante,restaurant,12526,Bohnsdorf,52.4050239,13.5732228
node,Schnitzel K�nig,restaurant,10405,,52.5368750,13.4343093
node,Chay Viet,restaurant,10119,Mitte,52.5342078,13.3979580
node,Topals D�ner Station,fast_food,,,52.5886579,13.2885539
node,Manhattan Burger,fast_food,14059,,52.5130645,13.2973125
node,Kimchi Princess,restaurant,10999,Kreuzberg,52.4985880,13.4259464
node,Bala Bait,restaurant,,,52.5474312,13.4088699
node,Tacqueria Ta�Cabr�n,restaurant,10997,,52.4999043,13.4371056
node,Nila,restaurant,10823,Sch�neberg,52.4865603,13.3557273
node,Mendoza - Argentinisches Steakhaus,restaurant,14050,Westend,52.5194948,13.2705696
node,Orient Esspress,fast_food,10961,Kreuzberg,52.4894455,13.3936407
node,Aki Ryu,restaurant,10961,Kreuzberg,52.4894806,13.3923972
node,Canova,restaurant,12157,Sch�neberg,52.4630193,13.3443786
node,New Yak & Yeti,restaurant,12157,,52.4695855,13.3436400
node,Ristorante La Marianna,restaurant,12163,Steglitz,52.4646458,13.3386915
node,Mevlana,fast_food,12157,Steglitz,52.4633700,13.3388012
node,Spalato,restaurant,12169,,52.4602073,13.3397378
node,Duo,restaurant,12169,Steglitz,52.4510479,13.3410754
node,K�y�m Imbiss,fast_food,,,52.4901048,13.3612042
node,Il Gusto,restaurant,13127,Franz�sisch Buchholz,52.6065726,13.4198369
node,Furat Grillhaus,fast_food,,,52.6072084,13.4210366
node,Schnitzery,restaurant,10627,Charlottenburg,52.5070600,13.3095352
node,Iro Izakaya,restaurant,,,52.4888808,13.4514304
node,Urban Falafel,fast_food,10243,,52.5035151,13.4471126
node,Fire Tiger,restaurant,10245,Friedrichshain,52.5085422,13.4519029
node,Bistro Istanbul,fast_food,,,52.5038496,13.4473758
node,Scheers Schnitzel,fast_food,10245,Friedrichshain,52.5028629,13.4472391
node,Dorfaue,restaurant,13437,Wittenau,52.5927677,13.3226947
node,Sachiko Sushi,restaurant,10623,Charlottenburg,52.5047271,13.3240226
node,Szechuan House,restaurant,10999,Kreuzberg,52.4964833,13.4203413
node,petrocelli,restaurant,10719,Charlottenburg,52.5024902,13.3235290
node,Restaurant ELIA Biesdorf,restaurant,12683,Biesdorf,52.4878792,13.5606948
node,Toni Vu,restaurant,12683,Biesdorf,52.4877510,13.5606810
node,Thai-China Wok,fast_food,,,52.4556270,13.3221156
